Reference, Value, Footprint,Digikey PN
R7,470,Resistors_SMD:R_0805_HandSoldering,RMCF0805JT470RCT-ND
C1,0.1u,Capacitors_SMD:C_0805_HandSoldering,311-1361-1-ND
C2,0.1u,Capacitors_SMD:C_0805_HandSoldering,311-1361-1-ND
R3,100k,Resistors_SMD:R_0805_HandSoldering,RR12P100KDCT-ND
R4,100k,Resistors_SMD:R_0805_HandSoldering,RR12P100KDCT-ND
R5,100k,Resistors_SMD:R_0805_HandSoldering,RR12P100KDCT-ND
C20,10u,Capacitors_SMD:C_0805_HandSoldering,1276-2403-1-ND
C22,10u,Capacitors_SMD:C_0805_HandSoldering,1276-2403-1-ND
C9,1u,Capacitors_SMD:C_0805_HandSoldering,445-13262-1-ND
C10,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C11,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C12,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C13,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C14,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C15,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C16,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C17,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C18,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C19,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C21,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C3,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C4,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C5,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C6,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C7,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
C8,2.2u,Capacitors_SMD:C_0805_HandSoldering,445-13270-1-ND
R6,2k,Resistors_SMD:R_0805_HandSoldering,311-2.00KCRCT-ND
Q1,2N7002KW,TO_SOT_Packages_SMD:SOT-323,2N7002KWCT-ND
Q5,2N7002KW,TO_SOT_Packages_SMD:SOT-323,2N7002KWCT-ND
Q6,2N7002KW,TO_SOT_Packages_SMD:SOT-323,2N7002KWCT-ND
Q7,2N7002KW,TO_SOT_Packages_SMD:SOT-323,2N7002KWCT-ND
R1,33k,Resistors_SMD:R_0805_HandSoldering,541-33KACT-ND
R2,33k,Resistors_SMD:R_0805_HandSoldering,541-33KACT-ND
R8,33k,Resistors_SMD:R_0805_HandSoldering,541-33KACT-ND
L1,4.7uH,Inductors:Inductor_1212,490-5346-1-ND
P2,A120699CT,footprint:A120699CT,A120699CT-ND
D1,BAT54SW,TO_SOT_Packages_SMD:SOT-323,568-1615-1-ND
Q2,BSS84W,TO_SOT_Packages_SMD:SOT-323,BSS84W-FDICT-ND
Q3,BSS84W,TO_SOT_Packages_SMD:SOT-323,BSS84W-FDICT-ND
Q4,BSS84W,TO_SOT_Packages_SMD:SOT-323,BSS84W-FDICT-ND
BT1,CR2016,footprint:CR2016sm-F2N,P222-ND
BT2,CR2016,footprint:CR2032sm,BAT-HLD-002-SMT-ND
D2,LED,Capacitors_SMD:C_0805_HandSoldering,492-1272-1-ND
U1,MSP430G2553IPW20R,footprint:TSSOP-20_4.4x6.5mm_Pitch0.65mm,296-28430-1-ND
SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVPBF,CKN10361CT-ND
U2,TLV61225,TO_SOT_Packages_SMD:SOT-23-6,296-36756-1-ND
