Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
P222-ND,PANASONIC - BSG,CR-2016/F2N,1,1,0,0,16 Weeks,BATTERY LITHIUM 3V COIN 20MM,,Not applicable,Not applicable,Not Available
296-28430-1-ND,TEXAS INSTRUMENTS (VA),MSP430G2553IPW20R,2,1,0,0,8 Weeks,IC MCU 16BIT 16KB FLASH 20TSSOP,,RoHS Compliant,Lead free,Unaffected Dec-2015
445-13270-1-ND,TDK CORPORATION (VA),CGB4B3X6S0J225K055AB,3,17,0,0,16 Weeks,CAP CER 2.2UF 6.3V X6S 0805,,RoHS Compliant,Lead free,Unaffected Jun-2015
492-1272-1-ND,BIVAR INC (VA),SMS1105BWC,4,1,0,0,6 Weeks,LED BLUE CLEAR 2SMD R/A,,RoHS Compliant,Lead free,Not Available
RMCF0805JT470RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT470R,5,1,0,0,11 Weeks,RES SMD 470 OHM 5% 1/8W 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
541-33KACT-ND,VISHAY DALE (VA),CRCW080533K0JNEA,6,3,0,0,10 Weeks,RES SMD 33K OHM 5% 1/8W 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
CKN10361CT-ND,C&K COMPONENTS (VA),RS-187R05A2-DS MT RT,7,1,0,0,10 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Dec-2015
311-1361-1-ND,YAGEO (VA),CC0805ZRY5V9BB104,8,2,0,0,20 Weeks,CAP CER 0.1UF 50V Y5V 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
445-13262-1-ND,TDK CORPORATION (VA),CGB4B3JB1E105K055AB,9,1,0,0,20 Weeks,CAP CER 1UF 25V JB 0805,,RoHS Compliant,Lead free,Unaffected Jun-2015
568-1615-1-ND,NXP SEMICONDUCTORS (VA),"BAT54SW,115",10,1,0,0,6 Weeks,DIODE ARRAY SCHOTTKY 30V SOT323,,RoHS Compliant,Lead free,Unaffected Dec-2015
2N7002KWCT-ND,FAIRCHILD SEMICONDUCTOR (VA),2N7002KW,11,4,0,0,6 Weeks,MOSFET N-CH 60V 0.31A SOT323,,RoHS Compliant,Lead free,Unaffected Dec-2015
BSS84W-FDICT-ND,DIODES INCORPORATED (VA),BSS84W-7-F,12,3,0,0,5 Weeks,MOSFET P-CH 50V 130MA SOT323,,RoHS Compliant,Lead free,Unaffected Dec-2015
RR12P100KDCT-ND,SUSUMU (VA),RR1220P-104-D,13,3,0,0,7 Weeks,RES SMD 100K OHM 0.5% 1/10W 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
311-2.00KCRCT-ND,YAGEO (VA),RC0805FR-072KL,14,1,0,0,22 Weeks,RES SMD 2K OHM 1% 1/8W 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
BAT-HLD-002-SMT-ND,LINX TECHNOLOGIES INC,BAT-HLD-002-SMT,17,1,0,0,8 Weeks,RETAINER BATT CR2016 SMD,,RoHS Compliant,Lead free,Unaffected Dec-2015
1276-2403-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21A106KQ7LQNC,18,2,0,0,11 Weeks,CAP CER 10UF 6.3V X5R 0805,,RoHS Compliant,Lead free,Unaffected Dec-2015
490-5346-1-ND,MURATA ELECTRONICS (VA),LQH3NPN4R7NJ0L,19,1,0,0,8 Weeks,FIXED IND 4.7UH 1.12A 130 MOHM,,RoHS Compliant,Lead free,Unaffected Dec-2015
296-36756-1-ND,TEXAS INSTRUMENTS (VA),TLV61225DCKR,21,1,0,0,6 Weeks,IC REG BOOST 3.3V 0.16A SC70-6,,RoHS Compliant,Lead free,Unaffected Dec-2015
E1200CS021-ND,PERVASIVE DISPLAYS,E1200CS021,22,1,0,0,10 Weeks,2in EPD AURORA MB RT,,RoHS Compliant,Lead free,Not Available
732-6012-1-ND,WURTH ELECTRONICS INC (VA),687140149022,16,1,0,0,16 Weeks,CONN .5MM HORZ BOTTOM SMD 40POS,,RoHS Compliant,Lead free,Unaffected Dec-2015
